"Name","Status","Extension","SizeMB","LastModified","RelativePath","FullPath"
"best.pt","TRAINING_CHECKPOINT",".pt","9.81","7/8/2026 4:22:42 PM","runs\classify\tank_platform_classifier_v1_exact_types\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v1_exact_types\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.81","7/8/2026 4:52:06 PM","runs\classify\tank_platform_classifier_v2_exact_focus\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v2_exact_focus\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.8","7/8/2026 5:00:53 PM","runs\classify\tank_type_classifier_v3_only_tanks\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v3_only_tanks\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.8","7/9/2026 10:17:04 AM","runs\classify\tank_type_classifier_v3_only_tanks-2\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v3_only_tanks-2\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","9.8","7/9/2026 12:03:59 PM","runs\classify\tank_type_classifier_v4_safe_unknown\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v4_safe_unknown\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","21.45","7/3/2026 4:10:44 PM","runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","5.96","6/30/2026 11:03:05 AM","training_runs\btr_yolov8n_local_test\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\btr_yolov8n_local_test\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","5.96","6/30/2026 2:26:53 PM","training_runs\btr_yolov8n_v2_50epochs\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\btr_yolov8n_v2_50epochs\weights\best.pt"
"best.pt","TRAINING_CHECKPOINT",".pt","21.46","7/2/2026 3:59:32 PM","training_runs\military_kaggle_yolov8s_v1\weights\best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\military_kaggle_yolov8s_v1\weights\best.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.79","7/9/2026 12:19:03 PM","runs\classify\armored_vehicle_classifier_v1\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\armored_vehicle_classifier_v1\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.79","7/9/2026 4:14:32 PM","runs\classify\artillery_launcher_classifier_v1\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\artillery_launcher_classifier_v1\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.79","7/8/2026 2:55:06 PM","runs\classify\tank_platform_classifier_v0\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v0\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.81","7/8/2026 4:22:42 PM","runs\classify\tank_platform_classifier_v1_exact_types\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v1_exact_types\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.81","7/8/2026 4:52:06 PM","runs\classify\tank_platform_classifier_v2_exact_focus\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_platform_classifier_v2_exact_focus\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.8","7/8/2026 5:00:53 PM","runs\classify\tank_type_classifier_v3_only_tanks\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v3_only_tanks\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.8","7/9/2026 10:17:04 AM","runs\classify\tank_type_classifier_v3_only_tanks-2\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v3_only_tanks-2\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","9.8","7/9/2026 12:03:59 PM","runs\classify\tank_type_classifier_v4_safe_unknown\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\classify\tank_type_classifier_v4_safe_unknown\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","21.45","7/3/2026 4:10:44 PM","runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","5.96","6/30/2026 11:03:05 AM","training_runs\btr_yolov8n_local_test\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\btr_yolov8n_local_test\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","5.96","6/30/2026 2:26:53 PM","training_runs\btr_yolov8n_v2_50epochs\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\btr_yolov8n_v2_50epochs\weights\last.pt"
"last.pt","TRAINING_CHECKPOINT",".pt","21.46","7/2/2026 3:59:32 PM","training_runs\military_kaggle_yolov8s_v1\weights\last.pt","C:\Users\UAVlab\Desktop\uav_ai_company\training_runs\military_kaggle_yolov8s_v1\weights\last.pt"
